u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
1.578,-19.56,-0.4303,0.05156,-99
1.458,-20.45,-0.2381,0.05875,-99
1.566,-19.54,-0.4169,0.05909,-99
1.979,-20.26,0.1514,0.03783,902.6
2.345,-19.97,0.2198,0.03669,902.6
2.07,-21.34,0.1419,0.07512,-99
1.99,-20.18,-0.08522,0.0378,902.6
1.519,-18.88,0.4185,0.03818,902.6
2.116,-21.08,0.4652,0.0709,-99
1.131,-20.03,-0.479,0.05246,-99
1.526,-19.42,-0.3771,0.04962,-99
1.631,-19.66,-0.3375,0.05908,-99
2.383,-21.15,-0.3653,0.05928,-99
2.013,-21.45,-0.005849,0.0737,-99
2.03,-20.87,1.46,0.07629,-99
2.543,-21.53,0.7605,0.06968,-99
2.504,-23.38,1.107,0.07676,-99
2.003,-21.12,0.4227,0.06928,-99
1.718,-21.57,0.939,0.07048,-99
2.675,-22.31,1.85,0.07102,-99
2.448,-20.34,1.547,0.07201,-99
2.681,-20.41,-0.1101,0.07985,-99
2.233,-20.08,1.729,0.06983,-99
2.321,-21.23,0.2425,0.03799,902.6
2.43,-21.38,1.222,0.07924,-99
1.185,-20.36,0.7152,0.07584,-99
1.934,-22.11,0.08873,0.06998,-99
2.334,-21.62,0.949,0.0747,-99
1.997,-21.23,1.427,0.07955,-99
1.653,-20.75,-0.07879,0.07671,-99
2.584,-20.29,1.739,0.07111,-99
2.188,-20.35,0.11,0.03977,902.6
2.388,-21.65,0.228,0.07722,-99
1.78,-20.52,0.2091,0.07607,-99
2.329,-21.55,-0.3884,0.05959,-99
1.788,-20.67,1.071,0.07265,-99
2.307,-21.84,0.2953,0.07127,-99
2.418,-20.88,0.2564,0.07098,-99
1.754,-21.47,-0.3085,0.05907,-99
2.027,-20.63,-0.03469,0.07417,-99
1.396,-19.53,-0.3015,0.05925,-99
1.274,-20.51,0.6086,0.05006,-99
1.525,-20.98,-0.2485,0.0399,902.6
1.517,-19.79,0.4411,0.04992,-99
1.815,-19.43,-0.3294,0.05163,-99
2.369,-20.08,0.08279,0.0515,-99
1.838,-21.39,0.1345,0.07205,-99
2.441,-21.81,0.3918,0.07133,-99
2.155,-19.59,0.3047,0.0517,-99
2.324,-21.11,0.5835,0.05163,-99
1.93,-20.2,0.6509,0.05029,-99
1.953,-20.98,-0.2418,0.05955,-99
1.839,-20.55,0.4606,0.07131,-99
1.781,-19.88,-0.03619,0.03971,902.6
2.402,-20.66,-0.0483,0.039,902.6
1.752,-20.22,0.1363,0.07416,-99
1.429,-20.28,-0.01103,0.05953,-99
2.369,-21.12,0.1371,0.07466,-99
1.525,-20.63,-0.03644,0.07495,-99
1.463,-20.27,-0.0156,0.07424,-99
1.437,-20.97,0.2224,0.07382,-99
2.583,-20.81,0.281,0.07984,-99
2.335,-21.75,-0.1344,0.07442,-99
1.454,-18.96,0.09933,0.03874,902.6
2.09,-20.53,1.059,0.07302,-99
2.509,-20.8,-0.3472,0.04939,-99
1.685,-20.14,0.4358,0.05935,-99
2.584,-21.23,0.7385,0.05986,-99
1.947,-20.14,0.7455,0.05935,-99
2.361,-22.02,0.8419,0.07231,-99
2.591,-21.99,0.5875,0.05926,-99
1.5,-20.14,0.6535,0.06182,-99
2.442,-22.11,0.8432,0.07219,-99
1.092,-19.77,-0.3922,0.05926,-99
2.101,-19.09,0.6476,0.03753,902.6
2.56,-21.17,0.6464,0.03704,902.6
